保单号,缴费期次,缴费金额,应缴日期,实缴日期,保费来源
"PB20200101001","1","3580","2020-01-01","2020-01-02","授权账户"
"PB20200101001","2","3580","2021-01-01","2021-01-03","授权账户"
"PB20200101001","3","3580","2022-01-01","2022-02-02","授权账户"
"PB20200101001","4","3580","2023-01-01","2023-01-02","授权账户"
"PB20200101001","5","3580","2024-01-01","2024-01-01","授权账户"
"PB20200101001","6","3580","2025-01-01","2025-02-12","授权账户"
"PB20200101001","7","3580","2026-01-01","2026-02-02","授权账户"
"PB20200101002","1","12800","2019-06-01","2019-06-01","授权账户"
"PB20200101002","2","12800","2020-06-01","2020-06-01","授权账户"
"PB20200101002","3","12800","2021-06-01","2021-06-01","授权账户"
"PB20200101002","4","12800","2022-06-01","2022-06-01","授权账户"
"PB20200101002","5","12800","2023-06-01","2023-06-09","授权账户"
"PB20200101002","6","12800","2024-06-01","2024-06-03","授权账户"
"PB20200101002","7","12800","2025-06-01","2025-06-07","授权账户"
"PB20200101002","8","12800","2026-06-01","2026-06-07","授权账户"
"PB20200101003","1","12800","2024-06-01","2024-06-05","授权账户"
"PB20200101003","2","12800","2025-06-01","2025-06-01","授权账户"
"PB20200101003","3","12800","2026-06-01","2026-06-03","授权账户"
"PB20200101004","1","15800","2025-04-01","2025-04-01","授权账户"
"PB20200101004","2","15800","2026-04-01","2026-05-01","授权账户"
"PB20200101005","1","4500","2025-06-01","2025-06-01","授权账户"
"PB20200101005","2","4500","2026-06-01","2026-06-04","授权账户"
"PB20200101006","1","68000","2025-04-04","2025-04-04","授权账户"
"PB20200101006","2","68000","2026-04-04","2026-06-03","授权账户"
"PB20200101007","1","8500","2025-11-01","2025-11-01","授权账户"
