保单号,期次,金额,应缴日期,实缴日期,保费来源
PB20200101001,1,3580,2020/1/1,2020/1/2,授权账户
PB20200101001,2,3580,2021/1/1,2021/1/3,授权账户
PB20200101001,3,3580,2022/1/1,2022/2/2,授权账户
PB20200101001,4,3580,2023/1/1,2023/1/2,授权账户
PB20200101001,5,3580,2024/1/1,2024/1/1,授权账户
PB20200101001,6,3580,2025/1/1,2025/2/12,授权账户
PB20200101001,7,3580,2026/1/1,2026/2/2,授权账户
PB20200101002,1,12800,2019/6/1,2019/6/1,授权账户
PB20200101002,2,12800,2020/6/1,2020/6/1,授权账户
PB20200101002,3,12800,2021/6/1,2021/6/1,授权账户
PB20200101002,4,12800,2022/6/1,2022/6/1,授权账户
PB20200101002,5,12800,2023/6/1,2023/6/9,授权账户
PB20200101002,6,12800,2024/6/1,2024/6/3,授权账户
PB20200101002,7,12800,2025/6/1,2025/6/7,授权账户
PB20200101002,8,12800,2026/6/1,2026/6/7,授权账户
PB20200101003,1,12800,2024/6/1,2024/6/5,授权账户
PB20200101003,2,12800,2025/6/1,2025/6/1,授权账户
PB20200101003,3,12800,2026/6/1,2026/6/3,授权账户
PB20200101004,1,15800,2025/4/1,2025/4/1,授权账户
PB20200101004,2,15800,2026/4/1,2026/5/1,授权账户
PB20200101005,1,4500,2025/6/1,2025/6/1,授权账户
PB20200101005,2,4500,2026/6/1,2026/6/4,授权账户
PB20200101006,1,68000,2025/4/4,2025/4/4,授权账户
PB20200101006,2,68000,2026/4/4,2026/6/3,授权账户
PB20200101007,1,8500,2025/11/1,2025/11/1,授权账户
